product_id;product_name;product_SKU;product_status;product_type;delivery_time
"5592";"Apple Watch Series 6 40mm GPS Aluminium z edycji PRODUCT(RED) z paskiem sportowym z edycji PRODUCT(RED)";"M00A3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5593";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym";"M06P3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5594";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Aluminium w kolorze srebrnym z paskiem sportowym w kolorze białym";"M06M3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5595";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu";"M06N3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5596";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Aluminium w kolorze niebieskim z paskiem sportowym w kolorze głębokiego granatu";"M06Q3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5597";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Aluminium z edycji PRODUCT(RED) z paskiem sportowym z edycji PRODUCT(RED)";"M06R3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5598";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze srebrnym z paskiem sportowym w kolorze białym";"M06T3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5599";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze złotym z paskiem sportowym w kolorze cypryjskiej zieleni";"M06V3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5600";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze grafitowym z paskiem sportowym w kolorze czarnym";"M06X3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5601";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze srebrnym z bransoletą mediolańską w kolorze srebrnym";"M06U3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5602";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze złotym z bransoletą mediolańską w kolorze złotym";"M06W3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5603";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze grafitowym z bransoletą mediolańską w kolorze mocnego grafitu";"M06Y3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5604";"Apple Watch Series 6 44mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym";"M00H3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5605";"Apple Watch Series 6 44mm GPS Aluminium w kolorze srebrnym z paskiem sportowym w kolorze białym";"M00D3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5606";"Apple Watch Series 6 44mm GPS Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu";"M00E3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5607";"Apple Watch Series 6 44mm GPS Aluminium w kolorze niebieskim z paskiem sportowym w kolorze głębokiego granatu";"M00J3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5608";"Apple Watch Series 6 44mm GPS Aluminium z edycji PRODUCT(RED) z paskiem sportowym z edycji PRODUCT(RED)";"M00M3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5609";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym";"MG2E3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5610";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Aluminium w kolorze srebrnym z paskiem sportowym w kolorze białym";"MG2C3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5611";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu";"MG2D3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5612";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Aluminium w kolorze niebieskim z paskiem sportowym w kolorze głębokiego granatu";"M09A3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
